entity,question_code,description
PopulationDensity2010,PDEN10,Population density based on 2010 Census data.
CensusData,PDEN10,Data collected from the 2010 Census.
CoreBasedStatisticalArea,PDEN10,Geographical area classification provided by the Office of Management and Budget (OMB) in December 2009.
OfficeOfManagementAndBudget,PDEN10,Office that provides Core Based Statistical Area classifications.
CountyMetroNonMetroStatus,COUTYP4,The metro or non-metro status of the county based on the 2013 Rural/Urban Continuum Codes.
RuralUrbanContinuumCodes,,Classification scheme that distinguishes metropolitan counties by the population size of their metro area and non-metropolitan counties by degree of urbanization and adjacency to a metro area.
American Indian Areas (AIAs),MAIIN102,The Census provides data for five types of American Indian areas (AIAs).
Federally-recognized American Indian reservations (AIRs),MAIIN102,Areas set aside by the U.S. for the use of American Indian tribes with primary governmental authority.
State-recognized American Indian Reservations (SAIRs),MAIIN102,Reservations established by State governments for state-recognized tribes with possible governmental authority.
Oklahoma tribal statistical areas (OTSAs),MAIIN102,Areas representing former American Indian reservations in Oklahoma prior to statehood in 1907.
Tribal designated statistical areas (TDSAs),MAIIN102,Areas identified for federally-recognized tribes without AIR or off-reservation trust land.
State designated tribal statistical areas (SDTSAs),MAIIN102,Areas identified for State-recognized tribes without federal recognition or AIR.
Joint-use area,MAIIN102,An area defined by the Census Bureau where more than one tribe claims jurisdiction.
Majority AIA Variable,MAIIN102,A variable created by summing dwelling units in each AIA within the segment to assign the AIA with the most dwelling units.
American Indian Area,AIIND102,"Area types recognized by the Census for American Indian populations including AIRs, SAIRs, OTSAs, TDSAs, and SDTSAs."
Federally-recognized American Indian Reservation (AIR),AIIND102,Reservations and off-reservation trust lands recognized by the federal government with tribes having primary governmental authority.
State-recognized American Indian Reservation (SAIR),AIIND102,Reservations established by state governments for tribes recognized by the state.
Oklahoma Tribal Statistical Area (OTSA),AIIND102,Areas representing former reservations in Indian and Oklahoma territories before statehood in 1907.
Tribal Designated Statistical Area (TDSA),AIIND102,"Areas for federally-recognized tribes without a reservation, intended to encompass areas with a concentration of tribal members."
State Designated Tribal Statistical Area (SDTSA),AIIND102,"Areas for state-recognized tribes without a reservation, intended to encompass areas with a concentration of tribal members."
Age,AGE3,"The final edited age of the respondent, considering multiple opportunities to change their age during the survey."
Birthdate,AGE3,The birthdate entered by the respondent at the beginning of the questionnaire.
RawBirthdate,AGE3,The age calculated from the raw birthdate.
InterviewDate,AGE3,The final edited interview date used to determine the final age.
QuestionnaireRosterAge,AGE3,"The age entered in the questionnaire roster, if it exists."
PreInterviewScreenerAge,AGE3,The age recorded in the pre-interview screener.
Number_of_Times_Married,NOMARR2,The number of times the respondent has been married.
Respondent,NOMARR2,The individual who is responding to the survey question about their marital history.
Service,SERVICE,Have you ever been in the United States Armed Forces?
US Armed Forces,SERVICE,United States Armed Forces
MilitaryStatus,MILSTAT,Current military status of the respondent in the United States Armed Forces.
ActiveDutyStatus,MILSTAT,Respondent is currently on active duty in the United States Armed Forces.
ReserveComponentStatus,MILSTAT,Respondent is currently in a Reserve component of the United States Armed Forces.
SeparatedOrRetiredStatus,MILSTAT,Respondent is now separated or retired from the United States Armed Forces.
ActiveDuty,,Serving on active duty in the United States Armed Forces or Reserve components.
USMilitary,,"The United States Armed Forces, including Reserve components."
Activation,,Get activated for duty during national emergency or military conflict.
NationalEmergency,,Situations requiring the activation of military personnel.
MilitaryConflict,,Conflicts requiring military engagement.
Respondent,,Individual answering the survey.
ActiveDutyPeriod,ACTD9001,The period when the respondent served active duty in the United States Armed Forces or Reserve components
PersianGulfWar,ACTD9001,A specific conflict period included in the active duty response options: Persian Gulf War.
SurveyRespondent,ACTD9001,Individual responding to the survey question.
MilitaryService,ACTD9001,Service in the United States Armed Forces or Reserve components.
ActiveDutyPeriod,ACTD7590,Period when the respondent served on active duty in the United States Armed Forces or Reserve components.
ServiceInUSArmedForces,ACTD7590,Respondent's service in the United States Armed Forces or Reserve components.
MilitaryServicePeriod,ACTDVIET,"Time period of active duty service in the United States Armed Forces or Reserve components, specifically from March 1961 to April 1975."
VietnamEra,ACTDVIET,The specific era of the Vietnam War from March 1961 to April 1975.
Respondent,ACTDVIET,The individual providing information about their military service.
ActiveDutyService,ACTDPRIV,Service on active duty in the United States Armed Forces or Reserve components before the Vietnam era (March 1961).
TimePeriod,ACTDPRIV,Any time before the Vietnam era (March 1961).
RespondentServicePeriod,ACTDPRIV,The service period of the respondent in the United States Armed Forces or Reserve components.
MilitaryService,COMBATPY,Service in the United States Armed Forces or Reserve components.
MilitaryCombatZone,COMBATPY,Combat zone where the respondent served.
ImminentDangerPay,COMBATPY,Special pay received by the respondent for serving in areas of imminent danger.
HostileFirePay,COMBATPY,Special pay received by the respondent for facing hostile fire.
ActiveDuty,COMBATPY,Active duty service in the military.
OverallHealth,HEALTH,Respondent's self-assessment of their overall health.
HealthStatus,HEALTH,The general health status of the respondent ranging from excellent to poor.
Individual,HEALTH,A respondent who is part of the survey.
NumberOfTimesMoved,MOVSINPYR2,The number of times a respondent has moved in the past 12 months.
TimePeriod,MOVSINPYR2,The past 12 months.
Move,MOVSINPYR2,A change in residence from one location to another.
Location,MOVSINPYR2,"A specific city, town, or residence."
Sexual Attraction,SEXATRACT,Level or type of sexual attraction to other people.
Person,SEXATRACT,Individual respondent who provides their feelings on sexual attraction.
SexualIdentity,SEXIDENT,The sexual identity of the respondent as self-identified in the survey.
Respondent,SEXIDENT,An individual participating in the NSDUH survey.
English Proficiency,SPEAKENGL,Respondent's ability to speak English
Respondent,SPEAKENGL,The individual participating in the survey
DifficultySeeing,LVLDIFSEE2,Measures the difficulty in seeing even when wearing glasses or contact lenses.
VisionImpairment,LVLDIFSEE2,"A condition related to the difficulty in seeing, despite the use of corrective lenses."
Respondent,LVLDIFSEE2,The person answering the survey question.
HearingDifficulty,LVLDIFHEAR2,Level of difficulty hearing even with hearing aids
WalkingDifficulty,LVLDIFWALK2,Level of difficulty in walking or climbing steps experienced by the respondent.
DifficultyRememberingOrConcentrating,LVLDIFMEM2,Level of difficulty remembering or concentrating
MentalHealthIssue,LVLDIFMEM2,Aspect of mental health related to memory and concentration difficulties
Self-Care Difficulty,LVLDIFCARE2,"Level of difficulty with self-care tasks, such as washing all over or dressing."
Self-Care Tasks,LVLDIFCARE2,Tasks related to personal hygiene and dressing.
Respondent,LVLDIFCARE2,"Individual aged 12 or older in the civilian, noninstitutionalized U.S. population answering the survey."
DifficultyCommunicating,LVLDIFCOMM2,Difficulty in communicating using one's usual language.
UsualLanguage,LVLDIFCOMM2,The language usually spoken by the respondent.
Gender,IRSEX,Gender of the respondent.
Survey,IRSEX,National Survey on Drug Use and Health (NSDUH) survey.
MaritalStatus,IRMARIT,Imputation revised marital status of the respondent.
SurveyPeriod,IRMARIT,Time period when the survey question was administered (2015 vs. 2016 and other prior years).
SurveyAdministrationMethod,IRMARIT,The method of administering the marital status question (Self-administration in 2015 vs. Interviewer administration in 2016 and other prior years).
Marital Status,IIMARIT,Indicates the marital status of the respondent.
Imputation Indicator,IIMARIT,Reflects whether the marital status question was self-administered or interviewer-administered.
Survey,IIMARIT,"The survey which includes questions on various topics, such as marital status."
Survey Year,IIMARIT,The year in which the survey was conducted.
EDUCATION,IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED
VARIABLE,IREDUHIGHST2,The variable reflects the move of the marital status questions from self-administration in 2015 back to interviewer administration in 2016.
MARITAL_STATUS,IREDUHIGHST2,"The status of being married, single, divorced, etc."
SURVEY_PERIOD,IREDUHIGHST2,The time frame during which the survey data was collected.
ANALYTIC_GOALS,IREDUHIGHST2,The aims or objectives that should be considered when analyzing the data.
EDUCATION,IIEDUHIGHST2,Indicator of education - imputation indicator.
MARITAL_STATUS,IIEDUHIGHST2,Marital status question administration method and its comparability over years.
AgeCategory,CATAGE,Respondent's age category.
MaritalStatus,CATAGE,Marital status of the respondent.
SurveyPeriod,CATAGE,"Year of the survey (2002 to 2016, excluding 2015) the data is collected in."
AgeCategory,CATAG2,Age category recode with 3 levels.
MaritalStatus,CATAG2,Marital status information related to the respondent.
SurveyYear,CATAG2,Year in which the survey is conducted.
AgeCategoryRecode,CATAG3,Recoded age categories into five levels for analysis purposes.
MaritalStatus,CATAG3,"The marital status of the respondent, noting the method of administration changing over the years, affecting comparability of data."
SurveyYear,CATAG3,"The year in which the survey was administered, noting changes in the survey method affecting comparability."
RC-AGE CATEGORY,CATAG6,Categorized age of the respondent (6 levels).
Marital Status,CATAG6,"Marital status of the respondent, affected by the shift from self-administration to interviewer administration after 2015."
AgeCategory,CATAG7,Age category recoded into 7 levels.
MaritalStatus,,Marital status of the respondent.
SurveyYear,,Year in which the survey data was collected.
AdministrationMode,,Mode of administration for the survey questions (self-administration or interviewer-administered).
PregnancyAgeCategoryRecode,PREGAGE2,Categorization of respondent's age at pregnancy.
Respondent,PREGAGE2,An individual who participates in the survey.
MaritalStatusQuestion,PREGAGE2,Question related to the marital status of the respondent.
SurveyPeriod2015,PREGAGE2,Survey period in the year 2015.
SurveyPeriod2002to2014,PREGAGE2,Survey period from the years 2002 to 2014.
SurveyPeriod2016,PREGAGE2,Survey period in the year 2016.
Variable,,Age category in relation to DUI (Driving Under the Influence). Reflects changes in administration method for marital status questions in the survey.
