relationship,source_entity,target_entity,question_code,description
isBasedOn,PopulationDensity2010,CensusData,PDEN10,Population density is based on 2010 Census data.
isClassifiedBy,PopulationDensity2010,CoreBasedStatisticalArea,PDEN10,Population density is classified by the Core Based Statistical Area classifications.
providedBy,CoreBasedStatisticalArea,OfficeOfManagementAndBudget,PDEN10,Core Based Statistical Area classifications are provided by the Office of Management and Budget (OMB).
isClassifiedBy,CountyMetroNonMetroStatus,RuralUrbanContinuumCodes,COUTYP4,The metro or non-metro status of the county is recoded based on the 2013 Rural/Urban Continuum Codes.
hasType,American Indian Areas (AIAs),Federally-recognized American Indian reservations (AIRs),MAIIN102,Federally recognized American Indian reservations (AIRs) are a type of American Indian area.
hasType,American Indian Areas (AIAs),State-recognized American Indian Reservations (SAIRs),MAIIN102,State-recognized American Indian Reservations (SAIRs) are a type of American Indian area.
hasType,American Indian Areas (AIAs),Oklahoma tribal statistical areas (OTSAs),MAIIN102,Oklahoma tribal statistical areas (OTSAs) are a type of American Indian area.
hasType,American Indian Areas (AIAs),Tribal designated statistical areas (TDSAs),MAIIN102,Tribal designated statistical areas (TDSAs) are a type of American Indian area.
hasType,American Indian Areas (AIAs),State designated tribal statistical areas (SDTSAs),MAIIN102,State designated tribal statistical areas (SDTSAs) are a type of American Indian area.
createdBy,Joint-use area,Census Bureau,MAIIN102,Joint-use areas are created by the Census Bureau.
summarizes,Majority AIA Variable,American Indian Areas (AIAs),MAIIN102,Majority AIA Variable summarizes the majority American Indian Area in a segment based on dwelling units.
hasPrimaryAuthority,Federally-recognized American Indian Reservation (AIR),Tribe,AIIND102,Indicates that tribes have primary governmental authority over AIRs.
hasPrimaryAuthority,State-recognized American Indian Reservation (SAIR),Tribe,AIIND102,Indicates that tribes may have governmental authority over SAIRs.
isLocatedWithin,Oklahoma Tribal Statistical Area (OTSA),State of Oklahoma,AIIND102,Indicates that OTSAs are located within the State of Oklahoma.
containsConcentrationOf,Tribal Designated Statistical Area (TDSA),Individuals identifying with a tribe,AIIND102,Indicates that TDSAs contain a concentrated population of individuals identifying with a federally-recognized tribe.
containsConcentrationOf,State Designated Tribal Statistical Area (SDTSA),Tribal members,AIIND102,Indicates that SDTSAs encompass areas with a substantial concentration of members from state-recognized tribes.
hasFinalEditedAge,Age,FinalEditedAge,AGE3,Relates the respondent's age to its final edited version after the survey.
isDerivedFrom,FinalEditedAge,Birthdate,AGE3,Indicates that the final edited age is derived from the respondent's birthdate.
isDerivedFrom,FinalEditedAge,RawBirthdate,AGE3,Indicates that the final edited age is derived from the raw birthdate calculation.
isDerivedFrom,FinalEditedAge,InterviewDate,AGE3,Indicates that the final edited age considers the final edited interview date.
isDerivedFrom,FinalEditedAge,QuestionnaireRosterAge,AGE3,Indicates that the final edited age considers the age entered in the questionnaire roster.
isDerivedFrom,FinalEditedAge,PreInterviewScreenerAge,AGE3,Indicates that the final edited age considers the age from the pre-interview screener.
hasMaritalHistory,Respondent,Number_of_Times_Married,NOMARR2,Indicates the number of times the respondent has been married.
hasServiceExperience,Respondent,Service,SERVICE,Indicates whether the respondent has served in the United States Armed Forces.
hasActiveDutyStatus,MilitaryStatus,ActiveDutyStatus,MILSTAT,Indicates the respondent is on active duty in the United States Armed Forces.
hasReserveComponentStatus,MilitaryStatus,ReserveComponentStatus,MILSTAT,Indicates the respondent is in a Reserve component of the United States Armed Forces.
hasSeparatedOrRetiredStatus,MilitaryStatus,SeparatedOrRetiredStatus,MILSTAT,Indicates the respondent is separated or retired from the United States Armed Forces.
servedIn,Respondent,ActiveDuty,ACTDEVER,Indicates whether the respondent has served on active duty.
partOf,ActiveDuty,USMilitary,ACTDEVER,Active duty service is a part of the US Military or Reserve components.
includes,ActiveDuty,Activation,ACTDEVER,Active duty includes activation for national emergencies or military conflicts.
activationFor,Activation,NationalEmergency,ACTDEVER,Activation occurs in response to national emergencies.
activationFor,Activation,MilitaryConflict,ACTDEVER,Activation occurs in response to military conflicts.
hasActiveDutyPeriod,SurveyRespondent,ActiveDutyPeriod,ACTD9001,Specifies the time period when the respondent served on active duty.
includes,ActiveDutyPeriod,PersianGulfWar,ACTD9001,Indicates that the active duty period includes the Persian Gulf War.
servedIn,SurveyRespondent,MilitaryService,ACTD9001,Indicates that the respondent served in the United States Armed Forces or Reserve components.
hasServicePeriod,ServiceInUSArmedForces,ActiveDutyPeriod,ACTD7590,Relates the respondent's service to the specific active duty period.
servedDuring,Respondent,MilitaryServicePeriod,ACTDVIET,Indicates the respondent's period of active duty service in the military.
correspondsTo,MilitaryServicePeriod,VietnamEra,ACTDVIET,Associates the specific active duty service period with the Vietnam War era.
servedDuring,Respondent,ActiveDutyService,ACTDPRIV,Indicates that the respondent served on active duty in the specified period.
servicePeriod,ActiveDutyService,TimePeriod,ACTDPRIV,Relates the respondent's active duty service to the time period before the Vietnam era (March 1961).
hasServedOn,MilitaryService,MilitaryCombatZone,COMBATPY,Indicates the respondent served in a combat zone.
earnedImminentDangerPay,MilitaryService,ImminentDangerPay,COMBATPY,Indicates the respondent received imminent danger pay.
earnedHostileFirePay,MilitaryService,HostileFirePay,COMBATPY,Indicates the respondent received hostile fire pay.
hadActiveDuty,MilitaryService,ActiveDuty,COMBATPY,Indicates the respondent served on active duty.
hasOverallHealth,Individual,OverallHealth,HEALTH,Describes the relationship between the individual and their self-reported overall health.
hasHealthStatus,OverallHealth,HealthStatus,HEALTH,"Connects the overall health assessment to a specific health status category (excellent, very good, good, fair, or poor)."
hasTimePeriod,NumberOfTimesMoved,TimePeriod,MOVSINPYR2,Associates the number of times moved with the past 12 months period.
involvesMove,NumberOfTimesMoved,Move,MOVSINPYR2,Indicates that the count involves instances of moving.
fromLocation,Move,Location,MOVSINPYR2,Indicates the location from which the respondent moved.
toLocation,Move,Location,MOVSINPYR2,Indicates the location to which the respondent moved.
feelsSexualAttractionTowards,Person,Sexual Attraction,SEXATRACT,Relates a person's feelings to their sexual attraction towards others.
hasSexualIdentity,Respondent,SexualIdentity,SEXIDENT,Indicates the sexual identity of the respondent as self-reported in the survey.
measures,Respondent,English Proficiency,SPEAKENGL,The respondent's ability to speak English is assessed
isExperiencedBy,DifficultySeeing,Respondent,LVLDIFSEE2,Indicates that difficulty in seeing is experienced by the respondent.
classifiedAs,DifficultySeeing,VisionImpairment,LVLDIFSEE2,Classifies the level of difficulty in seeing as a kind of vision impairment.
hasDifficulty,Respondent,HearingDifficulty,LVLDIFHEAR2,Indicates the respondent has difficulty hearing even when using hearing aids
hasDifficulty,Respondent,WalkingDifficulty,LVLDIFWALK2,Relates the respondent to their level of difficulty in walking or climbing steps.
isMeasuredBy,DifficultyRememberingOrConcentrating,MentalHealthIssue,LVLDIFMEM2,Level of difficulty remembering or concentrating is a measure of mental health issues.
hasDifficultyWith,Respondent,Self-Care Tasks,LVLDIFCARE2,Indicates whether the respondent has difficulty with self-care tasks.
measures,Survey,Self-Care Difficulty,LVLDIFCARE2,The survey measures the level of difficulty in self-care experienced by the respondent.
hasDifficultyCommunicating,Respondent,DifficultyCommunicating,LVLDIFCOMM2,Indicates whether the respondent has difficulty communicating.
usesLanguage,Respondent,UsualLanguage,LVLDIFCOMM2,Indicates the usual language spoken by the respondent.
hasGender,Survey,Gender,IRSEX,The survey collects data on the gender of the respondent.
requiresImputation,Gender,Imputation,IRSEX,Gender data imputation for missing values is no longer required starting from the 2002 survey.
isConsistentWith,Variable,EarlierSurveys,IRSEX,"The prefix 'IR' is used to maintain consistency with earlier surveys, despite the lack of need for imputation."
hasAdministrationMethod,MaritalStatus,SurveyAdministrationMethod,IRMARIT,Relates the marital status data to the method by which the question was administered.
isComparableWith,MaritalStatus,SurveyPeriod,IRMARIT,Indicates whether the marital status data is comparable across different survey periods.
hasImputationIndicator,Marital Status,Imputation Indicator,IIMARIT,Indicates whether the marital status was self-administered or interviewer-administered.
includedIn,Marital Status,Survey,IIMARIT,Marital status information is included in the survey.
surveyPeriod,Survey,Survey Year,IIMARIT,"Relates the survey to specific years, detailing changes in administration methods."
comparableWith,Survey Year,Survey Year,IIMARIT,Specifies which survey years have comparable data for marital status.
