id,entity_name,entity_description,entity_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
1302,ModeOfUse,"Dabbing waxes, shatter, or concentrate.","[-0.00273205  0.04176282 -0.01434073 ... -0.01331698 -0.05752544
  0.033069  ]","[ 0.01663675  0.016159    0.01063684 ... -0.05392892 -0.00841673
  0.04257546]","[-0.00273205  0.04176282 -0.01434073 ... -0.05392892 -0.00841673
  0.04257546]",0,6,DBSCAN_0_AGG_6
2,PopulationDensity2010,Population density based on 2010 Census data.,"[ 0.04350079 -0.00713865  0.06036023 ... -0.00775361 -0.00594468
 -0.00245987]","[-0.01276117 -0.00218408  0.06149475 ... -0.02605823 -0.01194615
 -0.01077386]","[ 0.04350079 -0.00713865  0.06036023 ... -0.02605823 -0.01194615
 -0.01077386]",-1,9,DBSCAN_-1_AGG_9
3,CensusData,Data collected from the 2010 Census.,"[-0.01560009  0.02316668  0.06036795 ... -0.01923919 -0.00089948
  0.02646247]","[ 0.00514695  0.03145287  0.05214221 ... -0.03625076  0.00067113
 -0.01184242]","[-0.01560009  0.02316668  0.06036795 ... -0.03625076  0.00067113
 -0.01184242]",-1,9,DBSCAN_-1_AGG_9
4,CoreBasedStatisticalArea,Geographical area classification provided by the Office of Management and Budget (OMB) in December 2009.,"[-0.01456391 -0.01743913  0.08969522 ... -0.03094832 -0.00032802
  0.04713044]","[-0.01046925  0.03025889  0.06386418 ... -0.02601699  0.01980732
 -0.02521574]","[-0.01456391 -0.01743913  0.08969522 ... -0.02601699  0.01980732
 -0.02521574]",-1,9,DBSCAN_-1_AGG_9
5,OfficeOfManagementAndBudget,Office that provides Core Based Statistical Area classifications.,"[ 0.01533888  0.00100844  0.01560426 ... -0.01892149  0.00116186
 -0.00794145]","[-0.02550434 -0.00333237  0.07938676 ... -0.00156275  0.00948715
  0.01935918]","[ 0.01533888  0.00100844  0.01560426 ... -0.00156275  0.00948715
  0.01935918]",-1,9,DBSCAN_-1_AGG_9
6,CountyMetroNonMetroStatus,The metro or non-metro status of the county based on the 2013 Rural/Urban Continuum Codes.,"[-0.01421715 -0.01633555  0.00250068 ...  0.00910763 -0.00725776
  0.04567987]","[-0.02538543  0.01343463  0.02256483 ... -0.01511897 -0.01941003
  0.04831119]","[-0.01421715 -0.01633555  0.00250068 ... -0.01511897 -0.01941003
  0.04831119]",-1,9,DBSCAN_-1_AGG_9
7,RuralUrbanContinuumCodes,Classification scheme that distinguishes metropolitan counties by the population size of their metro area and non-metropolitan counties by degree of urbanization and adjacency to a metro area.,"[ 0.01084354  0.02126122  0.05457257 ... -0.03017264 -0.03318517
  0.0072632 ]","[-0.02912682  0.01267849  0.07965121 ... -0.00360926 -0.03434985
  0.0085664 ]","[ 0.01084354  0.02126122  0.05457257 ... -0.00360926 -0.03434985
  0.0085664 ]",-1,9,DBSCAN_-1_AGG_9
8,American Indian Areas (AIAs),The Census provides data for five types of American Indian areas (AIAs).,"[ 0.00295632 -0.00264326  0.05922965 ... -0.02041022  0.01023738
  0.01781537]","[-0.00597865  0.03388817  0.02759716 ... -0.02792596  0.00708013
  0.01619881]","[ 0.00295632 -0.00264326  0.05922965 ... -0.02792596  0.00708013
  0.01619881]",1,9,DBSCAN_1_AGG_9
9,Federally-recognized American Indian reservations (AIRs),Areas set aside by the U.S. for the use of American Indian tribes with primary governmental authority.,"[ 0.003929    0.03735395  0.02666084 ... -0.0517393  -0.01400174
  0.0156081 ]","[-0.01569241  0.0007992   0.04143644 ... -0.03532913 -0.00969112
 -0.01062419]","[ 0.003929    0.03735395  0.02666084 ... -0.03532913 -0.00969112
 -0.01062419]",1,9,DBSCAN_1_AGG_9
10,State-recognized American Indian Reservations (SAIRs),Reservations established by State governments for state-recognized tribes with possible governmental authority.,"[ 0.00228843  0.03546055  0.00527956 ... -0.0400531  -0.0339046
  0.00386791]","[ 0.00704755  0.02248559  0.04120637 ... -0.03615601 -0.0203851
 -0.02481565]","[ 0.00228843  0.03546055  0.00527956 ... -0.03615601 -0.0203851
 -0.02481565]",1,9,DBSCAN_1_AGG_9
11,Oklahoma tribal statistical areas (OTSAs),Areas representing former American Indian reservations in Oklahoma prior to statehood in 1907.,"[-0.01790917  0.02821587  0.044926   ... -0.00282382 -0.00357801
 -0.01445234]","[-0.0268515   0.01691408  0.05512416 ... -0.03206245  0.00077316
 -0.03066282]","[-0.01790917  0.02821587  0.044926   ... -0.03206245  0.00077316
 -0.03066282]",1,9,DBSCAN_1_AGG_9
12,Tribal designated statistical areas (TDSAs),Areas identified for federally-recognized tribes without AIR or off-reservation trust land.,"[-0.00477924  0.01200353  0.0821434  ...  0.01366945 -0.01866089
  0.01925632]","[ 0.00930829  0.03423825  0.04786757 ... -0.02426373 -0.0004854
  0.01332475]","[-0.00477924  0.01200353  0.0821434  ... -0.02426373 -0.0004854
  0.01332475]",1,9,DBSCAN_1_AGG_9
13,State designated tribal statistical areas (SDTSAs),Areas identified for State-recognized tribes without federal recognition or AIR.,"[-2.12844703e-02 -9.98292677e-03  5.83674647e-02 ... -1.32780115e-05
 -2.97310837e-02  8.80736671e-03]","[ 0.02047421  0.03336345  0.04548377 ... -0.03096545 -0.01184663
  0.02383662]","[-0.02128447 -0.00998293  0.05836746 ... -0.03096545 -0.01184663
  0.02383662]",1,9,DBSCAN_1_AGG_9
14,Joint-use area,An area defined by the Census Bureau where more than one tribe claims jurisdiction.,"[-0.01611212  0.00015948  0.07333359 ... -0.01563501 -0.01267069
  0.01357798]","[ 0.018795    0.00615871  0.06502596 ... -0.00034877  0.0042517
  0.00240877]","[-0.01611212  0.00015948  0.07333359 ... -0.00034877  0.0042517
  0.00240877]",-1,9,DBSCAN_-1_AGG_9
15,Majority AIA Variable,A variable created by summing dwelling units in each AIA within the segment to assign the AIA with the most dwelling units.,"[-0.04394908  0.01446644  0.02594849 ... -0.00420171 -0.03307962
  0.03942537]","[-0.0148978  -0.01730343  0.03980887 ... -0.02786621 -0.00039191
  0.02671835]","[-0.04394908  0.01446644  0.02594849 ... -0.02786621 -0.00039191
  0.02671835]",-1,3,DBSCAN_-1_AGG_3
16,American Indian Area,"Area types recognized by the Census for American Indian populations including AIRs, SAIRs, OTSAs, TDSAs, and SDTSAs.","[ 0.02172883 -0.00824389  0.05171545 ... -0.02207638  0.01380469
  0.01085746]","[-0.01530288  0.01224708  0.0593494  ... -0.0134885  -0.00751417
  0.01655624]","[ 0.02172883 -0.00824389  0.05171545 ... -0.0134885  -0.00751417
  0.01655624]",1,9,DBSCAN_1_AGG_9
17,Federally-recognized American Indian Reservation (AIR),Reservations and off-reservation trust lands recognized by the federal government with tribes having primary governmental authority.,"[ 0.00596726  0.0293307   0.00441716 ... -0.03729915 -0.00852552
  0.0178382 ]","[-0.01883915  0.01739169  0.027535   ... -0.01176757 -0.00436726
 -0.01957946]","[ 0.00596726  0.0293307   0.00441716 ... -0.01176757 -0.00436726
 -0.01957946]",1,9,DBSCAN_1_AGG_9
18,State-recognized American Indian Reservation (SAIR),Reservations established by state governments for tribes recognized by the state.,"[ 0.0098251   0.01999879 -0.00494483 ... -0.03387787 -0.02342015
  0.00515785]","[ 0.00513666  0.01233021  0.03467939 ... -0.02976943 -0.02450559
 -0.02864146]","[ 0.0098251   0.01999879 -0.00494483 ... -0.02976943 -0.02450559
 -0.02864146]",1,9,DBSCAN_1_AGG_9
19,Oklahoma Tribal Statistical Area (OTSA),Areas representing former reservations in Indian and Oklahoma territories before statehood in 1907.,"[-0.01896753  0.01795609  0.02403719 ...  0.01023922 -0.0031264
 -0.01034536]","[-0.02944277  0.0152733   0.06212943 ... -0.0348943   0.02369839
 -0.02572582]","[-0.01896753  0.01795609  0.02403719 ... -0.0348943   0.02369839
 -0.02572582]",1,9,DBSCAN_1_AGG_9
20,Tribal Designated Statistical Area (TDSA),"Areas for federally-recognized tribes without a reservation, intended to encompass areas with a concentration of tribal members.","[-0.01668332 -0.00214105  0.07197225 ...  0.01359334 -0.02421116
  0.00782031]","[ 0.02435838  0.02599972  0.06037262 ... -0.00562277 -0.02043344
  0.00176325]","[-0.01668332 -0.00214105  0.07197225 ... -0.00562277 -0.02043344
  0.00176325]",1,9,DBSCAN_1_AGG_9
21,State Designated Tribal Statistical Area (SDTSA),"Areas for state-recognized tribes without a reservation, intended to encompass areas with a concentration of tribal members.","[-0.0197241  -0.01552289  0.03147732 ...  0.00274157 -0.01639867
 -0.00240205]","[ 0.03820058  0.02809993  0.06223153 ... -0.00907743 -0.01188383
  0.00074124]","[-0.0197241  -0.01552289  0.03147732 ... -0.00907743 -0.01188383
  0.00074124]",1,9,DBSCAN_1_AGG_9
22,Age,"The final edited age of the respondent, considering multiple opportunities to change their age during the survey.","[ 0.04411926 -0.01229158  0.02411531 ... -0.01763636  0.00522428
  0.01054779]","[ 0.07580008  0.02687781 -0.00178683 ... -0.02208554  0.00185358
  0.02255107]","[ 0.04411926 -0.01229158  0.02411531 ... -0.02208554  0.00185358
  0.02255107]",0,15,DBSCAN_0_AGG_15
23,Birthdate,The birthdate entered by the respondent at the beginning of the questionnaire.,"[ 0.02873597  0.00241196  0.03982329 ... -0.01240628  0.00119343
  0.01093333]","[ 0.02342178  0.01924058  0.04842626 ... -0.02624467  0.02976443
 -0.01233098]","[ 0.02873597  0.00241196  0.03982329 ... -0.02624467  0.02976443
 -0.01233098]",0,15,DBSCAN_0_AGG_15
24,RawBirthdate,The age calculated from the raw birthdate.,"[-0.00315797  0.06529802  0.04439695 ...  0.02869976 -0.01670945
  0.00088306]","[ 0.04890015  0.03047183  0.03991134 ...  0.0030813  -0.00321431
  0.0322746 ]","[-0.00315797  0.06529802  0.04439695 ...  0.0030813  -0.00321431
  0.0322746 ]",0,15,DBSCAN_0_AGG_15
