id,relation_name,relation_description,relation_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
1,isBasedOn,Population density is based on 2010 Census data.,"[-0.03469422  0.00368225  0.04821854 ...  0.00805516 -0.0477688
 -0.01215101]","[-0.00242341 -0.00238135  0.06230855 ... -0.01247257 -0.01242915
 -0.00461072]","[-0.03469422  0.00368225  0.04821854 ... -0.01247257 -0.01242915
 -0.00461072]",0,25,DBSCAN_0_AGG_25
2,isClassifiedBy,Population density is classified by the Core Based Statistical Area classifications.,"[-0.03617363  0.02455337 -0.00252098 ...  0.02069858 -0.02729084
  0.00370465]","[ 0.0071083  -0.00948891  0.08154427 ...  0.00303165  0.00385312
 -0.00194472]","[-0.03617363  0.02455337 -0.00252098 ...  0.00303165  0.00385312
 -0.00194472]",0,25,DBSCAN_0_AGG_25
3,providedBy,Core Based Statistical Area classifications are provided by the Office of Management and Budget (OMB).,"[-0.0141143  -0.02766946  0.05827058 ... -0.01149242 -0.00614667
  0.00089348]","[-0.01315635  0.01297283  0.08267739 ... -0.01303018  0.01070746
  0.00176211]","[-0.0141143  -0.02766946  0.05827058 ... -0.01303018  0.01070746
  0.00176211]",0,34,DBSCAN_0_AGG_34
4,isClassifiedBy,The metro or non-metro status of the county is recoded based on the 2013 Rural/Urban Continuum Codes.,"[-0.03617363  0.02455337 -0.00252098 ...  0.02069858 -0.02729084
  0.00370465]","[-0.02501987  0.02708501  0.04019066 ... -0.00824729 -0.01539583
  0.0425735 ]","[-0.03617363  0.02455337 -0.00252098 ... -0.00824729 -0.01539583
  0.0425735 ]",0,25,DBSCAN_0_AGG_25
5,hasType,Federally recognized American Indian reservations (AIRs) are a type of American Indian area.,"[-0.06460948  0.03286993  0.02324692 ...  0.00992791 -0.04619638
 -0.00332418]","[ 0.00440063  0.03046333  0.03489191 ... -0.03545108 -0.01007616
  0.00851609]","[-0.06460948  0.03286993  0.02324692 ... -0.03545108 -0.01007616
  0.00851609]",1,6,DBSCAN_1_AGG_6
6,hasType,State-recognized American Indian Reservations (SAIRs) are a type of American Indian area.,"[-0.06458485  0.03291687  0.02326779 ...  0.00993156 -0.0462085
 -0.00335079]","[ 1.46825816e-02  2.74414793e-02  1.78578198e-02 ... -2.38722321e-02
 -2.33159866e-02  5.37777087e-05]","[-6.45848513e-02  3.29168662e-02  2.32677944e-02 ... -2.38722321e-02
 -2.33159866e-02  5.37777087e-05]",1,6,DBSCAN_1_AGG_6
7,hasType,Oklahoma tribal statistical areas (OTSAs) are a type of American Indian area.,"[-0.06469845  0.03291415  0.02323614 ...  0.00993074 -0.04620469
 -0.00334865]","[-0.00661485  0.0338423   0.03272296 ...  0.01381319 -0.00095263
 -0.01600424]","[-0.06469845  0.03291415  0.02323614 ...  0.01381319 -0.00095263
 -0.01600424]",1,6,DBSCAN_1_AGG_6
8,hasType,Tribal designated statistical areas (TDSAs) are a type of American Indian area.,"[-0.06470336  0.03291664  0.0232379  ...  0.00990919 -0.04620819
 -0.00336191]","[ 0.01364946  0.01595757  0.06120583 ...  0.02629132 -0.00375214
  0.00582592]","[-0.06470336  0.03291664  0.0232379  ...  0.02629132 -0.00375214
  0.00582592]",1,6,DBSCAN_1_AGG_6
9,hasType,State designated tribal statistical areas (SDTSAs) are a type of American Indian area.,"[-0.06469845  0.03291415  0.02323614 ...  0.00993074 -0.04620469
 -0.00334865]","[ 0.00267038 -0.01017981  0.04776634 ...  0.01297415 -0.01995126
  0.00074234]","[-0.06469845  0.03291415  0.02323614 ...  0.01297415 -0.01995126
  0.00074234]",1,6,DBSCAN_1_AGG_6
10,createdBy,Joint-use areas are created by the Census Bureau.,"[ 0.02510646  0.00720238  0.03720217 ... -0.02213258 -0.00031455
 -0.02158927]","[-0.01082372  0.00883253  0.12377657 ... -0.03527632 -0.01684438
  0.01987152]","[ 0.02510646  0.00720238  0.03720217 ... -0.03527632 -0.01684438
  0.01987152]",0,34,DBSCAN_0_AGG_34
11,summarizes,Majority AIA Variable summarizes the majority American Indian Area in a segment based on dwelling units.,"[-0.02100207  0.02546501 -0.00320731 ...  0.01685693 -0.00283079
 -0.00875317]","[-0.0243855   0.01781968  0.06719106 ... -0.01106864 -0.0072109
  0.01631236]","[-0.02100207  0.02546501 -0.00320731 ... -0.01106864 -0.0072109
  0.01631236]",-1,42,DBSCAN_-1_AGG_42
12,hasPrimaryAuthority,Indicates that tribes have primary governmental authority over AIRs.,"[-0.02529459  0.00622197  0.0686411  ... -0.02265094 -0.01820835
 -0.00698065]","[ 0.02325292  0.0446554   0.04887331 ... -0.03053221 -0.00919096
  0.00605134]","[-0.02529459  0.00622197  0.0686411  ... -0.03053221 -0.00919096
  0.00605134]",-1,10,DBSCAN_-1_AGG_10
13,hasPrimaryAuthority,Indicates that tribes may have governmental authority over SAIRs.,"[-0.02529459  0.00622197  0.0686411  ... -0.02265094 -0.01820835
 -0.00698065]","[ 0.02741086  0.0309169   0.01353942 ... -0.00798819 -0.01405072
  0.00987402]","[-0.02529459  0.00622197  0.0686411  ... -0.00798819 -0.01405072
  0.00987402]",-1,10,DBSCAN_-1_AGG_10
14,isLocatedWithin,Indicates that OTSAs are located within the State of Oklahoma.,"[-0.08260339  0.02513297  0.05995213 ... -0.0083927  -0.01333356
  0.03042729]","[-0.02488296  0.00472857  0.02109204 ... -0.00388166 -0.01094259
  0.00875138]","[-0.08260339  0.02513297  0.05995213 ... -0.00388166 -0.01094259
  0.00875138]",-1,32,DBSCAN_-1_AGG_32
15,containsConcentrationOf,Indicates that TDSAs contain a concentrated population of individuals identifying with a federally-recognized tribe.,"[-2.14681349e-05 -9.93182324e-03  5.47759347e-02 ... -1.73087455e-02
 -7.25760078e-03  7.60854827e-03]","[ 0.03105621  0.00113184  0.02319287 ...  0.03378322 -0.02098214
  0.00835976]","[-2.14681349e-05 -9.93182324e-03  5.47759347e-02 ...  3.37832235e-02
 -2.09821351e-02  8.35975911e-03]",-1,10,DBSCAN_-1_AGG_10
16,containsConcentrationOf,Indicates that SDTSAs encompass areas with a substantial concentration of members from state-recognized tribes.,"[-2.14681349e-05 -9.93182324e-03  5.47759347e-02 ... -1.73087455e-02
 -7.25760078e-03  7.60854827e-03]","[ 0.01313167 -0.01901418  0.0427819  ...  0.01560747 -0.01824833
 -0.00101921]","[-2.14681349e-05 -9.93182324e-03  5.47759347e-02 ...  1.56074706e-02
 -1.82483289e-02 -1.01920613e-03]",-1,10,DBSCAN_-1_AGG_10
17,hasFinalEditedAge,Relates the respondent's age to its final edited version after the survey.,"[ 0.04137594  0.02115157  0.02559919 ...  0.00419409 -0.01960142
  0.03071323]","[ 0.06609461  0.03205589  0.01198653 ... -0.01714329  0.01056137
  0.02346359]","[ 0.04137594  0.02115157  0.02559919 ... -0.01714329  0.01056137
  0.02346359]",-1,0,DBSCAN_-1_AGG_0
18,isDerivedFrom,Indicates that the final edited age is derived from the respondent's birthdate.,"[-0.02280455 -0.00741185  0.02933297 ...  0.01237555 -0.02217566
 -0.00313506]",[0.05908879 0.03171564 0.04474308 ... 0.01391921 0.01242002 0.01614215],"[-0.02280455 -0.00741185  0.02933297 ...  0.01391921  0.01242002
  0.01614215]",0,4,DBSCAN_0_AGG_4
19,isDerivedFrom,Indicates that the final edited age is derived from the raw birthdate calculation.,"[-0.02280455 -0.00741185  0.02933297 ...  0.01237555 -0.02217566
 -0.00313506]",[0.05097145 0.05602174 0.03431071 ... 0.01211809 0.00044906 0.02920836],"[-0.02280455 -0.00741185  0.02933297 ...  0.01211809  0.00044906
  0.02920836]",0,4,DBSCAN_0_AGG_4
20,isDerivedFrom,Indicates that the final edited age considers the final edited interview date.,"[-0.02280455 -0.00741185  0.02933297 ...  0.01237555 -0.02217566
 -0.00313506]",[0.0487912  0.02428729 0.00640012 ... 0.01655706 0.01757241 0.00070102],"[-0.02280455 -0.00741185  0.02933297 ...  0.01655706  0.01757241
  0.00070102]",0,4,DBSCAN_0_AGG_4
21,isDerivedFrom,Indicates that the final edited age considers the age entered in the questionnaire roster.,"[-0.02280455 -0.00741185  0.02933297 ...  0.01237555 -0.02217566
 -0.00313506]",[0.06188328 0.03501661 0.0082764  ... 0.0081148  0.02978941 0.00918975],"[-0.02280455 -0.00741185  0.02933297 ...  0.0081148   0.02978941
  0.00918975]",0,4,DBSCAN_0_AGG_4
22,isDerivedFrom,Indicates that the final edited age considers the age from the pre-interview screener.,"[-0.02280455 -0.00741185  0.02933297 ...  0.01237555 -0.02217566
 -0.00313506]","[ 0.04113784  0.03823048  0.00834169 ...  0.00982254 -0.00452068
 -0.0083349 ]","[-0.02280455 -0.00741185  0.02933297 ...  0.00982254 -0.00452068
 -0.0083349 ]",0,4,DBSCAN_0_AGG_4
23,hasMaritalHistory,Indicates the number of times the respondent has been married.,"[-0.00881856  0.03377721  0.03817479 ...  0.0149783  -0.03614754
 -0.01919656]","[ 0.01491248  0.04236817  0.04877914 ... -0.00918568 -0.01215044
  0.01383554]","[-0.00881856  0.03377721  0.03817479 ... -0.00918568 -0.01215044
  0.01383554]",0,32,DBSCAN_0_AGG_32
24,hasServiceExperience,Indicates whether the respondent has served in the United States Armed Forces.,"[-0.05808232  0.01577438 -0.00661772 ... -0.00536    -0.01645613
  0.01187976]","[-0.0292388   0.04236434  0.04111307 ...  0.004555   -0.00098473
 -0.01460663]","[-0.05808232  0.01577438 -0.00661772 ...  0.004555   -0.00098473
 -0.01460663]",0,32,DBSCAN_0_AGG_32
25,hasActiveDutyStatus,Indicates the respondent is on active duty in the United States Armed Forces.,"[-0.01730174  0.02204701  0.00955216 ...  0.02971956 -0.03158377
  0.03737669]","[-0.01258028  0.05766015  0.02618644 ...  0.00597119  0.011219
 -0.00661237]","[-0.01730174  0.02204701  0.00955216 ...  0.00597119  0.011219
 -0.00661237]",0,32,DBSCAN_0_AGG_32
26,hasReserveComponentStatus,Indicates the respondent is in a Reserve component of the United States Armed Forces.,"[-0.0698748   0.00823873  0.00661541 ...  0.01265619 -0.0117296
  0.03982174]","[-0.02608347  0.05648683  0.0227205  ...  0.00345011  0.0111962
 -0.00459673]","[-0.0698748   0.00823873  0.00661541 ...  0.00345011  0.0111962
 -0.00459673]",0,32,DBSCAN_0_AGG_32
27,hasSeparatedOrRetiredStatus,Indicates the respondent is separated or retired from the United States Armed Forces.,"[ 0.00055219 -0.01167832  0.04330778 ...  0.0101603  -0.02981426
  0.01935678]","[ 0.00540603  0.0341561   0.02517191 ...  0.00224436 -0.00541277
 -0.01379329]","[ 0.00055219 -0.01167832  0.04330778 ...  0.00224436 -0.00541277
 -0.01379329]",0,32,DBSCAN_0_AGG_32
28,servedIn,Indicates whether the respondent has served on active duty.,"[-0.05513144  0.00698789  0.00458786 ...  0.01771862 -0.00976993
  0.01187672]","[-0.02238343  0.05112734  0.03285791 ...  0.02172032  0.00375877
 -0.00879639]","[-0.05513144  0.00698789  0.00458786 ...  0.02172032  0.00375877
 -0.00879639]",0,32,DBSCAN_0_AGG_32
29,partOf,Active duty service is a part of the US Military or Reserve components.,"[-0.02807334  0.00593886  0.05924886 ...  0.02498513 -0.02762618
  0.00886637]","[-0.02467342  0.03214954  0.03443952 ...  0.03464158 -0.02085679
  0.00504301]","[-0.02807334  0.00593886  0.05924886 ...  0.03464158 -0.02085679
  0.00504301]",0,6,DBSCAN_0_AGG_6
30,includes,Active duty includes activation for national emergencies or military conflicts.,"[ 0.00277669  0.02550095  0.08001655 ... -0.02716463 -0.00093333
 -0.02520814]","[ 0.00064794  0.03812028  0.07661    ...  0.02247735 -0.0301776
 -0.00254126]","[ 0.00277669  0.02550095  0.08001655 ...  0.02247735 -0.0301776
 -0.00254126]",0,11,DBSCAN_0_AGG_11
31,activationFor,Activation occurs in response to national emergencies.,"[-0.00755321  0.03109198 -0.01939952 ...  0.02843993 -0.02715053
  0.00555685]","[-5.30439243e-02  6.50321841e-02  3.74154001e-02 ...  7.86365781e-05
 -1.57106370e-02 -1.38357608e-02]","[-7.55321141e-03  3.10919769e-02 -1.93995181e-02 ...  7.86365781e-05
 -1.57106370e-02 -1.38357608e-02]",-1,30,DBSCAN_-1_AGG_30
32,activationFor,Activation occurs in response to military conflicts.,"[-0.00755321  0.03109198 -0.01939952 ...  0.02843993 -0.02715053
  0.00555685]","[-0.04142962  0.0563107   0.06241947 ...  0.00635124 -0.03312054
  0.0011282 ]","[-0.00755321  0.03109198 -0.01939952 ...  0.00635124 -0.03312054
  0.0011282 ]",-1,30,DBSCAN_-1_AGG_30
33,hasActiveDutyPeriod,Specifies the time period when the respondent served on active duty.,"[-0.03176149  0.02905997  0.05310497 ...  0.01482103 -0.00493661
  0.0321197 ]","[-0.02942152  0.02565888  0.04578078 ...  0.0078902   0.01503794
  0.00557159]","[-0.03176149  0.02905997  0.05310497 ...  0.0078902   0.01503794
  0.00557159]",0,32,DBSCAN_0_AGG_32
34,includes,Indicates that the active duty period includes the Persian Gulf War.,"[ 0.00277669  0.02550095  0.08001655 ... -0.02716463 -0.00093333
 -0.02520814]","[-0.03621985  0.03232041  0.04519358 ...  0.02779605  0.0196847
 -0.00302301]","[ 0.00277669  0.02550095  0.08001655 ...  0.02779605  0.0196847
 -0.00302301]",0,11,DBSCAN_0_AGG_11
35,servedIn,Indicates that the respondent served in the United States Armed Forces or Reserve components.,"[-0.05513144  0.00698789  0.00458786 ...  0.01771862 -0.00976993
  0.01187672]","[-0.03027849  0.03808467  0.02549491 ...  0.00082464  0.00581849
 -0.00124189]","[-0.05513144  0.00698789  0.00458786 ...  0.00082464  0.00581849
 -0.00124189]",0,32,DBSCAN_0_AGG_32
36,hasServicePeriod,Relates the respondent's service to the specific active duty period.,"[-0.05342956  0.02039394  0.03971078 ...  0.00948835  0.00977889
  0.01985539]","[-0.03665712  0.03592561  0.04814465 ...  0.01160944  0.01131819
  0.01614756]","[-0.05342956  0.02039394  0.03971078 ...  0.01160944  0.01131819
  0.01614756]",0,32,DBSCAN_0_AGG_32
